sequence,score1,score2,score3,risk,finance,Value,personal,index
556,0.015,196.635032,0,0,0.75,1,0,4
557,0.012,196.565432,0,0,0.6,1,0,5
558,0.022,133.259967,0,0,1.1,1,0,3
559,0.006,196.635032,0,0,0.3,1,0,5
560,0.016,191.798824,0,0,0.8,2,0,5
561,4.102,119.59897,0,4,2.6,1,10,3
562,3.134,131.098008,0,3,0.7,2,0,4
563,3.137,196.635032,0,3,0.85,2,0,4
564,0.016,163.559425,0,0,0.8,2,0,3
565,0.017,164.173615,0,0,0.85,2,0,4
566,0.046,55.178358,0,0,2.3,1,0,1
567,3.072,128.379284,0,3,0.6,2,0,5
568,0.016,100.684475,0,0,0.8,1,0,4
569,3.063,196.635032,0,3,0.15,2,0,5
570,0.015,163.559425,0,0,0.75,2,0,4
571,0.015,133.215492,0,0,0.75,2,0,4
572,0.006,127.286471,0,0,0.3,1,0,5
573,0.011,163.559425,0,0,0.55,3,0,5
574,3.066,163.559425,0,3,0.3,2,0,5
575,4.059,196.635032,0,4,0.45,2,10,6
576,3.079,131.028408,0,3,0.95,1,0,4
577,3.189,95.917867,0,3,1.2,3,0,4
578,0.009,166.291099,0,0,0.45,2,0,5
579,3.072,196.635032,0,3,0.6,2,0,4
580,0.004,166.291099,0,0,0.2,2,0,5
581,3.073,166.291099,0,3,0.65,3,0,4
582,0.031,163.559425,0,0,0.8,2,3,4
583,0.006,196.635032,0,0,0.3,2,0,5
584,0.011,164.104015,0,0,0.55,2,0,4
585,0.016,196.635032,0,0,0.8,3,0,5
586,4.072,126.052547,0,4,3.6,1,0,5
587,0.003,163.559425,0,0,0.15,3,0,6
588,0.013,101.057181,0,0,0.65,1,0,4
589,0.006,161.957577,0,0,0.3,2,0,5
590,4.145,164.173615,0,4,1.75,2,10,3
591,0.009,196.635032,0,0,0.45,2,0,6
592,0.017,138.096175,0,0,0.85,1,0,4
593,0.016,163.559425,0,0,0.8,2,0,5
594,0.166,98.977222,0,0,8.3,2,0,-1
595,0.02,196.635032,0,0,1,3,0,4
596,0.031,163.559425,0,0,1.55,2,0,4
597,0.012,133.215492,0,0,0.6,3,0,6
598,0.022,196.635032,0,0,1.1,2,0,3
599,0.024,128.923874,0,0,1.2,2,0,3
600,3.136,196.635032,0,3,0.8,3,0,5
601,0.02,166.291099,0,0,1,3,0,4
602,0.024,127.580526,0,0,1.2,3,0,4
603,0.009,157.630404,0,0,0.45,2,0,5
604,3.073,196.635032,0,3,0.65,1,0,5
605,0.163,98.977222,0,0,8.15,2,0,-1
606,3.151,196.635032,0,3,0.8,2,3,4
607,0.019,150.480984,0,0,0.95,2,0,4
608,0.022,163.559425,0,0,0.35,3,3,5
609,0.005,196.635032,0,0,0.25,2,0,5
610,0.017,131.028408,0,0,0.85,2,0,4
611,4.074,124.848852,0,4,1.2,2,10,4
612,0.016,191.798824,0,0,0.8,2,0,5
613,3.154,140.042979,0,3,1.7,2,0,2
614,3.054,196.635032,0,3,0.45,3,0,6
615,0.017,87.359502,0,0,0.85,2,0,4
616,0.005,163.559425,0,0,0.25,2,0,6
617,0.027,120.557234,0,0,1.35,1,0,3
618,0.025,72.868552,0,0,1.25,1,0,1
619,0.028,157.924459,0,0,1.4,2,0,6
620,0.039,119.718589,0,0,1.2,2,3,4
621,0.013,166.291099,0,0,0.65,3,0,5
622,0.016,196.635032,0,0,0.8,3,0,6
623,0.024,87.257172,0,0,1.2,2,0,4
624,0.012,171.171782,0,0,0.6,3,0,4
625,0.006,196.635032,0,0,0.3,2,0,5
626,0.006,166.291099,0,0,0.3,2,0,5
627,4.161,107.752242,0,4,0.55,1,0,5
628,0.009,196.635032,0,0,0.45,3,0,6
629,3.071,164.173615,0,3,0.55,1,0,4
630,0.007,196.635032,0,0,0.35,3,0,5
631,5.173,182.40432,0,5,3.4,2,0,6
632,0.021,163.489825,0,0,1.05,2,0,3
633,3.162,126.1922,0,3,1.35,1,0,4
634,0.025,133.259967,0,0,1.25,1,0,4
635,0.021,196.635032,0,0,1.05,3,0,3
636,0.011,196.635032,0,0,0.55,3,0,6
637,0.016,161.454891,0,0,0.8,2,0,5
638,0.006,117.405377,0,0,0.3,2,0,5
639,4.067,158.653617,0,4,0.85,2,10,5
640,0.024,196.635032,0,0,0.45,3,3,5
641,0.008,196.635032,0,0,0.4,3,0,5
642,0.006,163.559425,0,0,0.3,3,0,5
643,3.123,196.635032,0,3,0.15,3,3,6
644,4.103,143.693747,0,4,2.65,1,10,6
645,0.021,147.74931,0,0,1.05,2,0,4
646,0.006,163.559425,0,0,0.3,2,0,5
647,4.079,182.47392,0,4,1.45,2,10,5
648,0.009,163.489825,0,0,0.45,2,0,5
649,0.012,148.2939,0,0,0.6,1,0,4
650,0.019,131.028408,0,0,0.95,1,0,4
651,0.012,192.30151,0,0,0.6,2,0,6
652,0.019,158.653617,0,0,0.95,2,0,3
653,0.006,196.635032,0,0,0.3,2,0,5
654,0.015,166.291099,0,0,0.75,2,0,4
655,0.015,163.559425,0,0,0.75,2,0,3
656,0.012,100.684475,0,0,0.6,2,0,5
657,0.024,196.635032,0,0,1.2,3,0,5
658,0.007,171.171782,0,0,0.35,1,0,5
659,3.075,164.104015,0,3,0.75,2,0,4
660,0.037,101.277923,0,0,1.85,2,0,5
661,0.006,166.291099,0,0,0.3,2,0,5
662,0.006,196.635032,0,0,0.3,5,0,6
663,0.028,203.633199,0,0,0.65,2,3,4
664,4.055,166.291099,0,4,0.25,2,10,5
665,3.131,166.291099,0,3,0.55,2,0,5
666,4.058,196.635032,0,4,0.4,3,10,5
667,0.006,196.635032,0,0,0.3,3,0,6
668,3.142,196.635032,0,3,0.35,3,0,6
669,3.078,163.559425,0,3,0.9,2,0,4
670,0.019,165.721384,0,0,0.2,5,3,5
671,0.036,152.129987,0,0,1.8,3,0,5
672,0.012,166.291099,0,0,0.6,2,0,4
673,0.028,132.461209,0,0,1.4,1,0,5
674,3.142,196.635032,0,3,0.35,2,0,5
675,0.009,133.215492,0,0,0.45,3,0,5
676,0.007,115.390223,0,0,0.35,2,0,5
677,3.066,196.635032,0,3,0.3,3,0,5
678,0.025,61.749447,0,0,1.25,1,0,4
679,4.061,203.633199,0,4,0.55,3,10,6
680,0.019,164.104015,0,0,0.95,2,0,3
681,0.034,126.1922,0,0,0.95,1,3,3
682,0.014,166.291099,0,0,0.7,3,0,4
683,0.02,163.489825,0,0,1,3,0,4
684,0.017,129.49616,0,0,0.85,1,0,4
685,0.017,159.267807,0,0,0.85,1,0,4
686,0.017,148.2939,0,0,0.85,1,0,3
687,0.02,164.104015,0,0,1,1,0,4
688,0.019,126.1922,0,0,0.95,1,0,4
689,0.044,196.635032,0,0,1.45,2,3,5
690,0.065,83.997244,0,0,3.25,1,0,3
691,0.013,163.559425,0,0,0.65,3,0,5
692,3.051,166.291099,0,3,0.3,2,0,5
693,0.024,92.09338,0,0,1.2,1,0,4
694,0.024,152.129987,0,0,1.2,3,0,5
695,3.056,191.729224,0,3,0.55,3,0,5
696,0.024,166.291099,0,0,0.45,3,3,5
697,0.025,196.635032,0,0,1.25,2,0,4
698,0.03,122.744318,0,0,1.5,1,0,4
699,3.138,133.215492,0,3,0.15,2,0,6
700,0.021,196.635032,0,0,0.3,2,3,5
701,0.023,163.559425,0,0,0.4,2,3,5
702,0.007,166.291099,0,0,0.35,2,0,6
703,0.003,163.559425,0,0,0.15,2,0,6
704,4.129,131.028408,0,4,0.95,2,10,4
705,0.014,158.723217,0,0,0.7,2,0,6
706,0.028,94.504919,0,0,0.65,2,3,6
707,0.017,196.635032,0,0,0.85,2,0,4
708,0.017,163.559425,0,0,0.85,2,0,4
709,0.002,133.215492,0,0,0.1,2,0,6
710,0.034,182.47392,0,0,1.7,2,0,5
711,0.003,158.653617,0,0,0.15,2,0,6
712,0.011,196.635032,0,0,0.55,2,0,4
713,3.08,171.171782,0,3,1,1,0,3
714,0.029,163.489825,0,0,1.45,2,0,5
715,0.019,148.2939,0,0,0.95,1,0,4
716,0.019,131.028408,0,0,0.95,1,0,4
717,3.081,163.559425,0,3,1.05,2,0,4
718,4.056,196.635032,0,4,0.3,2,10,5
719,0.021,196.635032,0,0,1.05,2,0,3
720,0.003,163.559425,0,0,0.15,2,0,5
721,0.017,163.559425,0,0,0.85,2,0,5
722,0.006,191.798824,0,0,0.3,1,0,5
723,0.022,152.794196,0,0,1.1,2,0,6
724,0.013,171.171782,0,0,0.65,2,0,4
725,0.019,163.559425,0,0,0.95,2,0,4
726,0.019,196.635032,0,0,0.95,2,0,4
727,3.066,196.635032,0,3,0.3,3,0,5
728,0.059,39.221695,0,0,2.95,1,0,4
729,4.128,83.280724,0,4,3.4,1,0,4
730,3.064,163.559425,0,3,0.2,2,3,6
731,0.021,196.635032,0,0,1.05,3,0,3
732,4.013,157.121369,0,4,0.65,3,0,5
733,0.009,196.635032,0,0,0.45,1,0,5
734,0.019,164.104015,0,0,0.95,1,0,3
735,0.006,166.291099,0,0,0.3,2,0,5
736,0.004,196.635032,0,0,0.2,3,0,5
737,0.009,196.635032,0,0,0.45,2,0,5
738,0.016,198.796991,0,0,0.8,3,0,5
739,0.01,196.635032,0,0,0.5,2,0,6
740,0.014,164.173615,0,0,0.7,2,0,4
741,0.019,115.218293,0,0,0.95,1,0,4
742,4.081,196.635032,0,4,0.8,2,10,5
743,3.097,196.635032,0,3,1.1,2,0,3
744,0.004,196.635032,0,0,0.2,2,0,5
745,0.027,191.798824,0,0,1.35,2,0,4
746,0.014,133.215492,0,0,0.7,2,0,4
747,0.014,166.291099,0,0,0.7,2,0,4
748,0.012,196.635032,0,0,0.6,2,0,4
749,0.017,100.684475,0,0,0.85,1,0,4
750,3.065,163.559425,0,3,0.25,2,0,6
751,0.007,163.559425,0,0,0.35,2,0,5
752,3.073,161.454891,0,3,0.65,3,0,6
753,0.019,133.145892,0,0,0.95,2,0,3
754,3.077,163.559425,0,3,0.85,2,0,4
755,0.003,196.635032,0,0,0.15,2,0,5
756,0.005,166.291099,0,0,0.25,3,0,6
757,4.093,29.321771,0,4,2.15,1,10,2
758,0.016,164.119536,0,0,0.8,1,0,5
759,0.006,196.635032,0,0,0.3,3,0,5
760,0.03,157.630404,0,0,1.5,2,0,4
761,0.024,126.1922,0,0,1.2,1,0,4
762,0.005,166.291099,0,0,0.25,3,0,5
763,0.017,159.267807,0,0,0.85,1,0,4
764,0.01,196.635032,0,0,0.5,2,0,4
765,0.012,196.635032,0,0,0.6,2,0,5
766,0.038,128.379284,0,0,1.15,2,3,5
767,3.073,161.454891,0,3,0.65,2,0,5
768,5.094,154.389695,0,5,2.2,2,10,5
769,4.111,159.791655,0,4,3.05,3,10,5
770,3.076,196.635032,0,3,0.8,3,0,5
771,0.013,158.723217,0,0,0.65,2,0,6
772,0.026,95.848267,0,0,1.3,1,0,4
773,0.014,125.168987,0,0,0.7,1,0,4
774,0.009,171.171782,0,0,0.45,2,0,5
775,0.023,133.145892,0,0,0.4,3,3,5
776,0.021,196.635032,0,0,1.05,3,0,4
777,3.139,131.028408,0,3,0.95,1,0,4
778,0.012,100.754075,0,0,0.6,1,0,4
779,0.007,166.291099,0,0,0.35,3,0,6
780,0.011,166.291099,0,0,0.55,3,0,4
781,4.124,196.565432,0,4,0.7,2,10,4
782,0.014,196.635032,0,0,0.7,1,0,4
783,0.024,159.267807,0,0,1.2,1,0,4
784,0.005,196.635032,0,0,0.25,2,0,5
785,0.011,198.796991,0,0,0.55,1,0,4
786,3.062,119.943044,0,3,0.85,2,0,6
787,3.066,196.635032,0,3,0.3,2,0,6
788,0.011,131.028408,0,0,0.55,1,0,4
789,0.015,150.480984,0,0,0.75,2,0,4
790,3.081,196.635032,0,3,0.3,2,3,5
791,0.024,126.1922,0,0,1.2,1,0,4
792,0.03,196.635032,0,0,0.75,2,3,4
793,4.167,131.028408,0,4,0.85,1,0,4
794,3.137,166.335574,0,3,0.85,1,0,4
795,3.068,120.332779,0,3,0.4,2,0,5
796,0.013,157.630404,0,0,0.65,3,0,5
797,0.023,157.854859,0,0,1.15,3,0,5
798,4.067,87.481627,0,4,0.85,1,10,4
799,0.014,166.335574,0,0,0.7,1,0,4
800,0.017,131.028408,0,0,0.85,1,0,5
801,0.021,166.291099,0,0,0.3,3,3,6
802,4.231,61.577736,0,4,2.55,1,3,4
803,0.019,131.028408,0,0,0.95,2,0,3
804,0.003,163.559425,0,0,0.15,2,0,6
805,0.004,196.635032,0,0,0.2,2,0,5
806,0.013,196.635032,0,0,0.65,2,0,6
807,3.073,158.723217,0,3,0.65,3,0,6
808,0.018,166.291099,0,0,0.9,2,0,5
809,3.081,92.09338,0,3,1.05,1,0,3
810,4.074,163.559425,0,4,1.2,2,10,4
811,0.024,191.798824,0,0,1.2,2,0,4
812,0.014,164.104015,0,0,0.7,2,0,4
813,0.011,100.684475,0,0,0.55,1,0,4
814,0.006,163.559425,0,0,0.3,2,0,5
815,0.018,191.798824,0,0,0.9,1,0,5
816,0.028,140.042979,0,0,1.4,1,0,2
817,0.011,163.559425,0,0,0.55,2,0,5
818,0.024,128.379284,0,0,1.2,2,0,3
819,0.024,166.335574,0,0,1.2,1,0,3
820,0.009,133.215492,0,0,0.45,2,0,5
821,0.017,166.291099,0,0,0.85,3,0,4
822,4.173,86.823735,0,4,1.15,1,0,2
823,0.034,133.259967,0,0,1.7,1,0,4
824,4.059,132.835559,0,4,2.95,2,0,2
825,0.166,98.977222,0,0,8.3,3,0,-1
826,3.066,196.635032,0,3,0.3,2,0,6
827,0.021,133.215492,0,0,0.3,3,3,6
828,0.004,133.932012,0,0,0.2,3,0,6
829,0.024,61.749447,0,0,1.2,1,0,4
830,4.055,128.81237,0,4,0.25,2,10,5
831,0.019,131.028408,0,0,0.95,1,0,4
832,0.023,139.931475,0,0,1.15,3,0,2
833,3.069,196.635032,0,3,0.45,3,0,6
834,3.081,163.559425,0,3,1.05,2,0,4
835,0.025,125.168987,0,0,1.25,2,0,4
836,0.163,98.977222,0,0,8.15,2,0,-1
837,0.05,119.05438,0,0,2.5,1,0,4
838,0.009,196.635032,0,0,0.45,2,0,6
839,0.019,192.30151,0,0,0.95,2,0,3
840,0.026,163.559425,0,0,0.55,2,3,5
841,0.004,196.635032,0,0,0.2,3,0,5
842,0.021,196.635032,0,0,1.05,2,0,3
843,0.015,102.916034,0,0,0.75,1,0,4
844,3.297,98.977222,0,3,8.1,2,0,-1
845,4.159,166.221499,0,4,0.2,3,10,5
846,0.005,196.565432,0,0,0.25,3,0,6
847,3.071,196.635032,0,3,0.55,3,0,5
848,0.016,191.798824,0,0,0.8,1,0,3
849,3.126,196.635032,0,3,0.3,2,0,5
850,3.129,158.723217,0,3,0.45,3,0,6
851,0.012,163.559425,0,0,0.6,3,0,5
852,0.004,163.559425,0,0,0.2,2,0,6
853,4.064,133.215492,0,4,0.7,2,10,4
854,3.081,157.630404,0,3,0.3,2,3,5
855,0.032,203.633199,0,0,0.85,3,3,3
856,0.02,163.559425,0,0,1,2,0,4
857,4.169,163.559425,0,4,0.95,2,0,3
858,0.024,166.221499,0,0,1.2,2,0,3
859,0.006,163.559425,0,0,0.3,3,0,6
860,0.021,163.559425,0,0,1.05,2,0,4
861,0.012,159.225903,0,0,0.6,1,0,5
862,4.109,182.47392,0,4,1.7,2,3,6
863,0.003,163.559425,0,0,0.15,2,0,5
864,3.077,158.653617,0,3,0.85,3,0,5
865,3.124,110.393685,0,3,2.45,3,3,4
866,0.048,139.428789,0,0,1.65,2,3,2
867,4.221,159.156303,0,4,1.05,2,10,4
868,0.018,126.1922,0,0,0.9,1,0,4
869,0.006,131.098008,0,0,0.3,2,0,5
870,4.069,163.559425,0,4,0.95,2,10,4
871,4.182,86.523363,0,4,2.85,1,10,3
872,3.073,168.453058,0,3,0.65,1,0,4
873,0.011,173.289266,0,0,0.55,2,0,4
874,0.009,131.098008,0,0,0.45,1,0,5
875,0.014,196.635032,0,0,0.7,2,0,4
876,0.021,119.718589,0,0,1.05,1,0,3
877,4.071,166.291099,0,4,1.05,2,10,4
878,0.021,49.809271,0,0,1.05,1,0,4
879,0.019,100.684475,0,0,0.95,1,0,4
880,0.023,166.291099,0,0,0.4,3,3,5
881,5.035,182.47392,0,5,1.75,3,0,6
882,0.025,92.317835,0,0,1.25,1,0,4
883,0.021,127.580526,0,0,1.05,3,0,5
884,3.069,196.635032,0,3,0.45,3,0,5
885,0.024,161.454891,0,0,1.2,2,0,4
886,0.014,164.104015,0,0,0.7,1,0,4
887,3.134,196.635032,0,3,0.7,1,0,5
888,0.006,196.635032,0,0,0.3,3,0,5
889,0.011,196.635032,0,0,0.55,2,0,4
890,0.006,163.559425,0,0,0.3,3,0,6
891,0.02,161.385291,0,0,1,2,0,4
892,0.009,163.489825,0,0,0.45,2,0,5
893,3.131,196.635032,0,3,0.55,3,0,6
894,0.022,191.798824,0,0,0.35,3,3,5
895,3.133,196.635032,0,3,0.65,2,0,5
896,3.068,196.635032,0,3,0.4,2,0,5
897,0.019,163.559425,0,0,0.95,3,0,3
898,0.021,56.913239,0,0,1.05,1,0,4
899,3.101,80.049752,0,3,2.05,3,0,5
900,3.066,133.215492,0,3,0.3,2,0,5
901,0.024,56.913239,0,0,1.2,1,0,4
902,0.035,177.410204,0,0,1,2,3,2
903,3.143,140.042979,0,3,1.15,1,0,2
904,0.009,196.635032,0,0,0.45,3,0,5
905,3.131,163.559425,0,3,0.55,3,0,5
906,5.043,119.66857,0,5,2.15,1,0,5
907,0.014,128.309684,0,0,0.7,2,0,3
908,0.02,158.653617,0,0,1,1,0,4
909,0.005,196.635032,0,0,0.25,4,0,5
910,0.009,163.559425,0,0,0.45,2,0,6
911,0.009,191.729224,0,0,0.45,2,0,5
912,0.03,143.457692,0,0,1.5,2,0,3
913,4.054,157.630404,0,4,0.2,1,10,5
914,0.026,124.848852,0,0,1.3,2,0,4
915,0.011,163.559425,0,0,0.55,2,0,4
916,3.081,196.635032,0,3,1.05,2,0,4
917,0.024,164.236014,0,0,1.2,2,0,3
918,0.009,163.559425,0,0,0.45,1,0,5
919,0.013,133.215492,0,0,0.65,3,0,6
920,3.07,133.760082,0,3,0.5,3,0,4
921,3.066,196.635032,0,3,0.3,2,0,5
922,4.143,182.47392,0,4,1.65,2,10,5
923,3.066,154.06304,0,3,1.05,3,0,5
924,0.006,196.635032,0,0,0.3,2,0,5
925,0.017,166.291099,0,0,0.1,3,3,5
926,0.036,187.138647,0,0,1.05,2,3,5
927,0.007,133.215492,0,0,0.35,2,0,5
928,3.077,164.104015,0,3,0.85,1,0,4
929,3.133,161.454891,0,3,0.65,2,0,5
930,3.126,196.635032,0,3,0.3,2,0,5
931,0.022,163.559425,0,0,1.1,1,0,4
932,3.13,68.816506,0,3,3.5,2,0,4
933,0.011,196.635032,0,0,0.55,3,0,4
934,3.096,182.47392,0,3,1.8,2,0,5
935,0.022,180.824917,0,0,1.1,2,0,3
936,0.023,113.990664,0,0,1.15,3,0,2
937,0.023,161.957577,0,0,0.4,3,3,5
938,0.011,131.028408,0,0,0.55,1,0,5
939,3.066,163.559425,0,3,0.3,2,0,5
940,0.007,133.215492,0,0,0.35,2,0,5
941,0.016,196.635032,0,0,0.8,3,0,5
942,3.156,131.028408,0,3,1.05,2,0,4
943,3.079,91.584345,0,3,1.7,2,0,4
944,0.01,192.30151,0,0,0.5,3,0,5
945,0.178,98.977222,0,0,8.15,2,3,-1
946,0.015,164.173615,0,0,0.75,3,0,4
947,0.006,196.635032,0,0,0.3,3,0,6
948,0.015,170.557592,0,0,0.75,2,0,4
949,4.086,157.854859,0,4,1.8,2,10,3
950,0.008,163.559425,0,0,0.4,2,0,5
951,3.069,163.559425,0,3,0.45,3,0,5
952,3.076,196.565432,0,3,0.8,3,0,6
953,4.069,133.215492,0,4,0.95,2,10,4
954,0.009,152.794196,0,0,0.45,2,0,5
955,5.357,84.829244,0,5,7.1,1,10,2
956,0.011,173.289266,0,0,0.55,2,0,5
957,0.02,124.779252,0,0,1,3,0,5
958,0.009,196.635032,0,0,0.45,2,0,5
959,0.009,163.559425,0,0,0.45,2,0,5
960,0.013,196.635032,0,0,0.65,2,0,4
961,0.016,124.045762,0,0,0.8,2,0,5
962,0.017,100.754075,0,0,0.85,2,0,4
963,0.003,196.635032,0,0,0.15,2,0,6
964,3.072,203.633199,0,3,0.6,2,0,4
965,0.012,191.798824,0,0,0.6,3,0,5
966,0.021,166.335574,0,0,1.05,1,0,4
967,0.027,166.291099,0,0,0.6,2,3,4
968,0.01,127.580526,0,0,0.5,2,0,5
969,4.057,124.554797,0,4,0.35,2,10,5
970,0.006,163.559425,0,0,0.3,2,0,5
971,0.011,138.096175,0,0,0.55,1,0,4
972,0.009,166.291099,0,0,0.45,2,0,5
973,0.006,166.291099,0,0,0.3,2,0,5
974,0.01,166.291099,0,0,0.5,3,0,5
975,3.134,163.559425,0,3,0.7,2,0,4
976,0.007,166.291099,0,0,0.35,3,0,6
977,3.073,157.924459,0,3,0.65,2,0,5
978,0.017,133.829682,0,0,0.85,2,0,4
979,4.063,192.30151,0,4,0.65,2,10,5
980,0.006,196.635032,0,0,0.3,2,0,5
981,0.059,140.446518,0,0,2.95,2,0,4
982,0.009,196.635032,0,0,0.45,2,0,5
983,0.006,196.635032,0,0,0.3,2,0,5
984,0.017,196.635032,0,0,0.85,3,0,4
985,0.015,84.94396,0,0,0.75,2,0,4
986,0.005,196.635032,0,0,0.25,2,0,5
987,0.013,194.649547,0,0,0.65,2,0,5
988,0.011,196.635032,0,0,0.55,3,0,5
989,0.017,133.215492,0,0,0.85,2,0,3
990,4.151,101.51149,0,4,2.8,1,10,4
991,0.009,157.630404,0,0,0.45,2,0,6
992,0.019,196.635032,0,0,0.95,2,0,3
993,0.011,92.09338,0,0,0.55,1,0,4
994,0.003,196.635032,0,0,0.15,3,0,6
995,3.068,163.559425,0,3,0.4,1,0,5
996,0.007,196.635032,0,0,0.35,3,0,6
997,0.009,196.635032,0,0,0.45,3,0,6
998,4.024,196.635032,0,4,0.45,2,3,6
999,0.005,196.635032,0,0,0.25,2,0,5
1000,0.009,163.559425,0,0,0.45,2,0,5
1001,3.03,157.924459,0,3,0.75,2,0,6
1002,3.078,157.924459,0,3,0.9,3,0,6
1003,0.017,163.559425,0,0,0.85,2,0,4
1004,4.061,163.559425,0,4,0.55,2,10,5
1005,3.179,163.559425,0,3,0.7,2,0,6
1006,0.001,196.635032,0,0,0.05,2,0,6
1007,4.054,127.286471,0,4,0.2,2,10,5
1008,0.014,126.1922,0,0,0.7,1,0,4
1009,0.029,166.291099,0,0,0.7,2,3,4
1010,3.067,166.291099,0,3,0.35,2,0,5
1011,4.061,159.267807,0,4,0.55,1,10,4
1012,0.032,86.592963,0,0,0.85,3,3,4
1013,0.007,166.291099,0,0,0.35,2,0,6
1014,0.009,163.559425,0,0,0.45,2,0,5
1015,0.02,131.028408,0,0,1,3,0,4
1016,3.069,196.635032,0,3,0.45,3,0,5
1017,0.006,163.559425,0,0,0.3,2,0,5
1018,0.006,196.635032,0,0,0.3,2,0,5
1019,0.008,163.489825,0,0,0.4,2,0,5
1020,0.009,125.168987,0,0,0.45,1,0,5
1021,3.071,171.171782,0,3,0.55,1,0,4
1022,3.101,149.398313,0,3,2.05,3,0,5
1023,0.019,100.684475,0,0,0.95,1,0,4
1024,0.017,138.096175,0,0,0.85,1,0,4
1025,4.132,59.320121,0,4,3.35,1,10,5
1026,0.003,168.453058,0,0,0.15,2,0,5
1027,0.019,92.09338,0,0,0.95,1,0,4
1028,0.007,196.635032,0,0,0.35,1,0,5
1029,0.025,144.334597,0,0,1.25,2,0,2
1030,0.004,196.635032,0,0,0.2,2,0,5
1031,0.025,191.729224,0,0,1.25,3,0,5
1032,0.026,164.104015,0,0,1.3,1,0,4
1033,0.166,98.977222,0,0,8.3,2,0,-1
1034,4.352,91.80262,0,4,1.85,1,3,3
1035,0.011,196.635032,0,0,0.55,2,0,6
1036,0.006,163.559425,0,0,0.3,2,0,5
1037,0.012,171.171782,0,0,0.6,1,0,4
1038,0.037,196.635032,0,0,1.1,2,3,4
1039,0.025,163.559425,0,0,0.5,3,3,5
1040,3.049,149.398313,0,3,2.45,2,0,4
1041,0.009,196.635032,0,0,0.45,2,0,6
1042,0.016,131.160407,0,0,0.8,2,0,5
1043,0.009,163.559425,0,0,0.45,2,0,5
1044,3.069,196.635032,0,3,0.45,2,0,5
1045,4.124,196.565432,0,4,1.45,2,10,4
1046,0.025,114.535254,0,0,1.25,2,0,2
1047,4.091,119.05438,0,4,2.05,3,10,5
1048,3.075,166.291099,0,3,0.75,3,0,6
1049,0.005,166.291099,0,0,0.25,2,0,5
1050,0.01,133.215492,0,0,0.5,1,0,4
1051,0.019,163.559425,0,0,0.95,2,0,4
1052,0.029,118.341196,0,0,1.45,2,0,4
1053,0.016,182.47392,0,0,0.8,2,0,5
1054,0.012,128.309684,0,0,0.6,2,0,4
1055,0.013,163.559425,0,0,0.65,2,0,5
1056,4.064,196.635032,0,4,0.7,2,10,4
1057,0.009,163.559425,0,0,0.45,2,0,5
1058,0.021,128.993474,0,0,1.05,2,0,4
1059,0.009,163.559425,0,0,0.45,2,0,5
1060,0.011,133.215492,0,0,0.55,3,0,5
1061,0.004,133.215492,0,0,0.2,2,0,6
1062,0.046,74.414786,0,0,2.3,3,0,5
1063,0.016,158.723217,0,0,0.8,2,0,5
1064,4.057,133.215492,0,4,0.35,2,10,5
1065,4.055,196.635032,0,4,0.25,2,10,5
1066,3.051,128.309684,0,3,0.3,3,0,5
1067,0.029,166.291099,0,0,0.7,3,3,4
1068,0.008,163.489825,0,0,0.4,3,0,6
1069,0.012,196.635032,0,0,0.6,3,0,4
1070,0.024,196.635032,0,0,1.2,2,0,4
1071,3.077,138.096175,0,3,0.85,1,0,4
1072,0.006,117.405377,0,0,0.3,2,0,5
1073,0.024,158.723217,0,0,1.2,2,0,4
1074,4.074,128.88197,0,4,3.7,1,0,4
1075,0.019,131.028408,0,0,0.95,1,0,4
1076,0.009,196.635032,0,0,0.45,3,0,6
1077,3.12,88.754922,0,3,3.75,1,0,4
1078,0.017,163.559425,0,0,0.85,2,0,4
1079,0.029,157.924459,0,0,1.45,2,0,4
1080,0.015,164.104015,0,0,0.75,2,0,4
1081,0.021,196.635032,0,0,0.3,2,3,5
1082,4.056,166.221499,0,4,0.3,3,10,6
1083,0.026,196.635032,0,0,0.55,2,3,4
1084,0.019,159.337407,0,0,0.95,2,0,5
1085,0.035,196.635032,0,0,1.75,2,0,4
1086,3.075,128.923874,0,3,0.75,1,0,4
1087,0.017,133.215492,0,0,0.85,1,0,4
1088,0.019,173.289266,0,0,0.2,2,3,5
1089,0.019,163.559425,0,0,0.2,1,3,5
1090,3.141,196.635032,0,3,0.3,2,3,5
1091,0.021,158.723217,0,0,1.05,2,0,4
1092,0.017,163.559425,0,0,0.85,2,0,3
1093,3.076,163.559425,0,3,0.8,2,0,5
1094,0.009,196.635032,0,0,0.45,3,0,5
1095,0.013,163.559425,0,0,0.65,2,0,6
1096,3.064,163.559425,0,3,0.2,3,0,6
1097,0.013,196.635032,0,0,0.65,3,0,4
1098,3.072,166.291099,0,3,0.6,3,0,4
1099,0.003,163.559425,0,0,0.15,2,0,5
1100,0.009,196.565432,0,0,0.45,2,0,5
1101,3.073,203.633199,0,3,0.65,2,0,5
1102,0.011,100.754075,0,0,0.55,2,0,4
1103,0.016,95.848267,0,0,0.8,1,0,4
1104,0.008,196.635032,0,0,0.4,2,0,6
1105,0.019,122.28606,0,0,0.95,2,0,4
1106,3.081,159.267807,0,3,1.05,1,0,4
1107,3.125,196.635032,0,3,0.25,3,0,5
1108,0.007,196.635032,0,0,0.35,1,0,5
1109,0.005,133.215492,0,0,0.25,2,0,6
1110,3.066,196.635032,0,3,0.3,2,0,6
