sequence,score1,score2,score3,risk,finance,Value,personal,index
128,0.027,163.559425,0,0,0.6,2,3,4
129,0.039,182.47392,0,0,1.95,3,0,5
130,3.159,182.40432,0,3,2.7,3,0,5
131,0.023,120.988831,0,0,1.15,1,0,2
132,0.036,182.47392,0,0,1.8,2,0,5
133,0.006,158.653617,0,0,0.3,1,0,5
134,0.005,196.635032,0,0,0.25,3,0,5
135,0.019,157.924459,0,0,0.95,3,0,6
136,0.004,163.559425,0,0,0.2,3,0,6
137,0.012,164.173615,0,0,0.6,2,0,4
138,3.066,166.291099,0,3,0.3,2,3,5
139,0.004,166.291099,0,0,0.2,2,0,5
140,0.013,196.635032,0,0,0.65,2,0,5
141,0.071,143.693747,0,0,2.8,2,3,4
142,0.021,166.291099,0,0,0.3,2,3,5
143,0.021,196.635032,0,0,0.3,3,3,5
144,0.008,158.653617,0,0,0.4,1,0,5
145,0.074,112.327428,0,0,2.95,2,3,2
146,0.011,163.559425,0,0,0.55,2,0,5
147,0.006,196.635032,0,0,0.3,2,0,5
148,3.068,196.635032,0,3,0.4,2,0,6
149,3.088,163.559425,0,3,0.65,1,3,5
150,0.022,166.291099,0,0,0.35,2,3,5
151,3.069,196.565432,0,3,0.45,3,0,6
152,0.014,196.635032,0,0,0.7,2,0,4
153,0.017,47.679065,0,0,0.85,1,0,4
154,0.012,131.098008,0,0,0.6,1,0,6
155,4.056,196.635032,0,4,0.3,2,10,5
156,0.048,149.398313,0,0,2.4,2,0,4
157,0.009,196.635032,0,0,0.45,2,0,5
158,0.016,191.798824,0,0,0.8,3,0,5
159,3.08,87.481627,0,3,1,1,0,4
160,3.135,163.559425,0,3,0.75,3,0,4
161,0.019,191.729224,0,0,0.95,1,0,5
162,3.077,157.924459,0,3,0.85,3,0,4
163,3.126,166.291099,0,3,0.3,2,0,6
164,0.011,196.635032,0,0,0.55,3,0,4
165,4.064,164.173615,0,4,0.7,3,10,4
166,0.018,196.635032,0,0,0.15,2,3,5
167,0.025,161.454891,0,0,1.25,3,0,3
168,0.027,51.278273,0,0,1.35,3,0,4
169,0.017,163.559425,0,0,0.85,2,0,4
170,4.127,187.395702,0,4,0.85,2,10,3
